name,url,format,access_method,pillar_relevance,verified,notes
RVA311 Historical Socrata (vgg4-hjn8),https://data.richmondgov.com/resource/vgg4-hjn8.json,JSON/CSV,SODA REST API,Resident service navigation — historical 311 request categories and patterns,Yes,"SeeClickFix era only: Jan 2014–Aug 2015. Current AvePoint platform has no public API."
City Contracts Socrata (xqn7-jvv2),https://data.richmondgov.com/resource/xqn7-jvv2.json,JSON/CSV,SODA REST API (bug) or CSV download,Procurement risk review — contract registry from ~2011,Yes,"API returns only 8 of 9 columns (known bug). Use CSV: data.richmondgov.com/api/views/xqn7-jvv2/rows.csv?accessType=DOWNLOAD"
City Contracts CSV full download,https://data.richmondgov.com/api/views/xqn7-jvv2/rows.csv?accessType=DOWNLOAD,CSV,Direct download,Procurement risk review — all 9 columns including the one missing from API,Yes,Use this instead of SODA API to get all columns
SAM.gov API,https://api.sam.gov/,JSON,REST API (free key required),Procurement — federal contracts debarment and vendor data,Needs verification,Register for free API key at sam.gov before hackathon
eVA Virginia Procurement,https://data.virginia.gov/,CSV,Portal download,Procurement — state-level contract data,Needs verification,Search data.virginia.gov for current eVA procurement CSV dataset
VITA Statewide Contracts,https://vita.cobblestonesystems.com/public/,Web only,Manual browse or scrape,Procurement — Virginia IT agency statewide contracts,Yes (web accessible),No API. Web-only access. No programmatic interface confirmed.
rva.gov Drupal Search API,https://www.rva.gov/search,HTML,HTTP GET (Drupal Search API),Resident service navigation — City website content search,Needs verification,"URL pattern: /search?search={query}&page={n}&f[0]=business_unit:{id}. Over 40 dept slugs."
USASpending.gov API,https://api.usaspending.gov/,JSON,REST API (no key required),Procurement transparency — federal award and spending data,Yes,No API key required for basic queries. Good for vendor spend history.
ArcGIS Richmond Layers,https://www.arcgis.com/,GeoJSON/REST,ArcGIS REST API,Resident service navigation — geographic context for service areas,Needs verification,Specific Richmond layer IDs need verification
Richmond Open Data Portal,https://data.richmondgov.com/,JSON/CSV,SODA REST API,General — multiple City datasets,Yes,Primary open data portal for Richmond city datasets
